"93800",\N,\N,\N,"一月标 房产抵押 经营周转（编号：2015060202）","100000",\N,\N,"1个月","15.00%",\N,"借款用途：公司周转-扩大",\N,"2015-06-02 14:08:31","还款方式：等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93801",\N,\N,\N,"三月标 房产抵押 经营周转（编号：2015060201）","250000",\N,\N,"18.00%   3个月","18.00%",\N,"借款用途：公司周转-扩大",\N,"2015-06-02 14:04:52","还款方式：按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93802",\N,\N,\N,"一月标 个体工商户 经营周转（编号：2015060101）","100000",\N,\N,"1个月","15.00%",\N,"借款用途：公司周转-扩大",\N,"2015-06-01 14:07:13","还款方式：等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93803",\N,\N,\N,"三月标 库存货物抵押 经营周转（编号：2015060101）","300000",\N,\N,"18.00%   3个月","18.00%",\N,"借款用途：公司周转-扩大",\N,"2015-06-01 14:03:35","还款方式：按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93804",\N,\N,\N,"一月标 个体工商户 经营周转（编号：2015053002）","100000",\N,\N,"1个月","15.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-30 14:08:39","还款方式：等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93805",\N,\N,\N,"三月标 库存货物抵押 经营周转（编号：2015053001）","200000",\N,\N,"18.00%   3个月","18.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-30 14:03:46","还款方式：按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93806",\N,\N,\N,"一月标 房产抵押 经营周转（编号：2015052902）","100000",\N,\N,"1个月","15.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-29 14:06:39","还款方式：等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93807",\N,\N,\N,"三月标 库存货物抵押 经营周转（编号：2015052901）","200000",\N,\N,"18.00%   3个月","18.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-29 14:03:51","还款方式：按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93808",\N,\N,\N,"一月标 房产抵押 经营周转（编号：2015052802）","100000",\N,\N,"1个月","15.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-28 14:11:08","还款方式：等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"93809",\N,\N,\N,"三月标 库存货物抵押 经营周转（编号：2015052801）","200000",\N,\N,"18.00%   3个月","18.00%",\N,"借款用途：公司周转-扩大",\N,"2015-05-28 14:07:26","还款方式：按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
