"176187","发标时间：2015-05-28 10:47:36",\N,\N,"【一月标】平台62贸易宝20150528-2","5,000","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176188","发标时间：2015-05-28 10:18:18",\N,\N,"【一月标】平台62贸易宝20150528","302,000","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176189","发标时间：2015-05-27 09:05:04",\N,\N,"【一月标】平台62贸易宝20150527","236,033.19","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176190","发标时间：2015-05-26 14:36:27",\N,\N,"【一月标】平台62贸易宝20150526","175,934.74","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176191","发标时间：2015-05-25 09:09:56",\N,\N,"【一月标】平台62贸易宝20150525","214,236.68","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176192","发标时间：2015-05-24 08:45:13",\N,\N,"【一月标】平台62贸易宝20150524","395,931.84","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176193","发标时间：2015-05-23 09:02:38",\N,\N,"【一月标】平台62贸易宝20150523","91,399.4","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176194","发标时间：2015-05-21 17:06:05",\N,\N,"【一月标】平台62贸易宝20150521   -2","30,000","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176195","发标时间：2015-05-21 09:36:57",\N,\N,"【一月标】平台62贸易宝20150521","18,550.76","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176196","发标时间：2015-05-20 09:24:15",\N,\N,"【一月标】平台62贸易宝20150520","34,091.51","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"176197","发标时间：2015-05-19 09:15:39",\N,\N,"【一月标】平台62贸易宝20150519","78,640","已结束",\N,"1个月","18",\N,\N,\N,\N,"还款方式： 
							   一次性还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
