"(141217-E)过年资金周转 
												 		 		 	 ","2015/5/27 9:22:40","200000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-17 14:01:40","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"4.3",\N,"http://www.jshfct.com/invest/a3931.html"
"(150217-G)304年底采购货物 
														 		 	 ","2015/5/27 9:22:42","100000","已还款",\N,"100%","回报周期：
													6个月","1.00",\N,\N,\N,"2015-02-17 13:32:09","还款方式：
									按月还息到期还本",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"24.85",\N,"http://www.jshfct.com/invest/a3930.html"
"(141217-F)过年资金周转 
														 		 	 ","2015/5/27 9:22:47","300000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-17 13:27:37","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.6",\N,"http://www.jshfct.com/invest/a3929.html"
"(141217-E)过年资金周转 
												 		 		 ","2015/5/27 9:22:52","250000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-17 23:15:33","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"3.8",\N,"http://www.jshfct.com/invest/a3928.html"
"(150217-D)304年底采购货物 
														 		 ","2015/5/27 9:22:56","100000","已还款",\N,"100%","回报周期：
													6个月","1.00",\N,\N,\N,"2015-02-17 10:22:17","还款方式：
									按月还息到期还本",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"24",\N,"http://www.jshfct.com/invest/a3927.html"
"（150216-C）298年底资金需求 
														 		 ","2015/5/27 9:22:59","40000","已还款",\N,"100%","回报周期：
													6个月","18.00",\N,\N,\N,"2015-02-17 23:16:50","还款方式：
									按月分期赎回",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"10",\N,"http://www.jshfct.com/invest/a3926.html"
"(141217-B)302过年做活动需要资金进货 
														 		 ","2015/5/27 9:23:04","300000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-17 23:16:12","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.2",\N,"http://www.jshfct.com/invest/a3925.html"
"（150217-A）299过年资金周转 
												 		 		 ","2015/5/27 9:23:27","46907","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-17 09:33:06","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"3.8",\N,"http://www.jshfct.com/invest/a3924.html"
"(141216-I)302过年做活动需要资金进货 
														 		 	 ","2015/5/27 9:23:31","400000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-16 16:29:06","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.6",\N,"http://www.jshfct.com/invest/a3923.html"
"（150216-E）298年底资金需求 
														 		 	 ","2015/5/27 9:23:38","300000","已还款",\N,"100%","回报周期：
													6个月","18.00",\N,\N,\N,"2015-02-16 16:29:46","还款方式：
									按月分期赎回",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"10.9",\N,"http://www.jshfct.com/invest/a3922.html"
"(141216-I)302过年做活动需要资金进货 
														 		 	 ","2015/5/27 9:23:40","300000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-16 19:46:40","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.6",\N,"http://www.jshfct.com/invest/a3921.html"
"（150215-H）299过年资金周转 
												 		 		 	 ","2015/5/27 9:23:46","100000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-16 15:10:16","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"4.25",\N,"http://www.jshfct.com/invest/a3920.html"
"（150214-G）296年底资金周转 
														 		 	 ","2015/5/27 9:23:50","110000","已还款",\N,"100%","回报周期：
													2个月","18.00",\N,\N,\N,"2015-02-16 13:56:59","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"5",\N,"http://www.jshfct.com/invest/a3919.html"
"（150216-E）298年底资金需求 
														 		 	 ","2015/5/27 9:23:54","100000","已还款",\N,"100%","回报周期：
													6个月","18.00",\N,\N,\N,"2015-02-16 13:02:51","还款方式：
									按月分期赎回",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"10",\N,"http://www.jshfct.com/invest/a3917.html"
"(141216-D)302过年做活动需要资金进货 
														 		 ","2015/5/27 9:23:57","300000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-16 22:03:17","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.2",\N,"http://www.jshfct.com/invest/a3916.html"
"（150216-C）298年底资金需求 
														 		 ","2015/5/27 9:23:59","100000","已还款",\N,"100%","回报周期：
													6个月","18.00",\N,\N,\N,"2015-02-16 10:34:28","还款方式：
									按月分期赎回",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"10",\N,"http://www.jshfct.com/invest/a3915.html"
"(150216-B）292某手机家电批发店部联保 
														 		 ","2015/5/27 9:24:05","35000","已还款",\N,"100%","回报周期：
													6个月","1.00",\N,\N,\N,"2015-02-16 09:37:16","还款方式：
									按月还息到期还本",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"24",\N,"http://www.jshfct.com/invest/a3914.html"
"（150215-A）299过年资金周转 
												 		 		 ","2015/5/27 9:24:07","445000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-16 22:03:44","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"3.8",\N,"http://www.jshfct.com/invest/a3913.html"
"（1500215-A）301过年资金周转 
														 		 	 ","2015/5/27 9:24:09","100000","已还款",\N,"100%","回报周期：
													1个月","18.00",\N,\N,\N,"2015-02-15 23:40:03","还款方式：
									到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"2.5",\N,"http://www.jshfct.com/invest/a3910.html"
"（150215-J）299过年资金周转 
												 		 		 	 ","2015/5/27 9:24:14","200000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-15 18:38:20","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"4.2",\N,"http://www.jshfct.com/invest/a3909.html"
"（150215-I）299过年资金周转 
												 		 		 	 ","2015/5/27 9:24:16","135000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-15 14:24:00","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"4.2",\N,"http://www.jshfct.com/invest/a3907.html"
"(150215-H）292某手机家电批发店部联保 
														 		 	 ","2015/5/27 9:24:19","100000","已还款",\N,"100%","回报周期：
													6个月","1.00",\N,\N,\N,"2015-02-15 11:16:49","还款方式：
									按月还息到期还本",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"24.9",\N,"http://www.jshfct.com/invest/a3903.html"
"（150215-G）299过年资金周转 
												 		 		 	 ","2015/5/27 9:24:26","300000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-15 10:33:51","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"4.2",\N,"http://www.jshfct.com/invest/a3902.html"
"（150215-F）299过年资金周转 
												 		 		 ","2015/5/27 9:24:29","100000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-15 11:29:20","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"3.8",\N,"http://www.jshfct.com/invest/a3901.html"
"（150215-E）299过年资金周转 
												 		 		 ","2015/5/27 9:24:35","100000","已还款",\N,"100%","回报周期：
								 
					45天","18.00",\N,\N,\N,"2015-02-15 09:45:04","还款方式：
				 
					到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"3.8",\N,"http://www.jshfct.com/invest/a3900.html"
"（150215-D）298年底资金需求 
														 		 ","2015/5/27 9:24:42","50000","已还款",\N,"100%","回报周期：
													6个月","18.00",\N,\N,\N,"2015-02-15 09:31:45","还款方式：
									按月分期赎回",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"10",\N,"http://www.jshfct.com/invest/a3898.html"
"(150215-C）292某手机家电批发店部联保 
														 		 ","2015/5/27 9:24:47","50000","已还款",\N,"100%","回报周期：
													6个月","1.00",\N,\N,\N,"2015-02-15 09:32:18","还款方式：
									按月还息到期还本",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"24",\N,"http://www.jshfct.com/invest/a3897.html"
