"90928",\N,\N,\N,"(续借）王某房产抵押-经营周转3-1-2","200000",\N," 借款人从事汽车配件加工，在璧山，大足都有加工工厂。汽车配件有稳定的供货渠道，清晰的利润来源，自身经营风险小，利润稳定。现用璧山县城一套283㎡的全款房 做抵押，市场估值150万，借款100万元。本项目已经办理的抵押登记。","184天","18",\N,"经营周转","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N
"90929",\N,\N,\N,"(续借）王某房产抵押-经营周转3-1-1","200000",\N," 借款人从事汽车配件加工，在璧山，大足都有加工工厂。汽车配件有稳定的供货渠道，清晰的利润来源，自身经营风险小，利润稳定。现用璧山县城一套283㎡的全款房 做抵押，市场估值150万，借款100万元。本项目已经办理的抵押登记。","92天","19.8",\N,"经营周转3-1-1","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.5",\N
"90930",\N,\N,\N,"净值标","0.580000",\N," 因个人临时需要周转","30天","18",\N,"净值标","",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.7",\N
"90931",\N,\N,\N,"XX建筑安装工程公司-工程周转2-1-41","100000",\N," 重庆市XX建筑安装工程有限公司成立于1999年公司主要经营：房屋建筑工程施工总承包壹级、市政公用工程施工总承包壹级、公路工程施工总承包叁级、建筑装修装饰工程专业承包贰级、公路路面工程专业承包叁级、公路路基工程专业承包叁级等。现承接贵州政府的盘南产业园区（盘南产业园区位于盘县南部，北距盘县县城约50公里，南距兴义市约30 公里。园区规划范围为54.7平方公里，涉及保田、大山、响水、马依、忠义和普田等6个乡镇，国土面积约586 平方公里，人口14.8万人。园区范围内，有南昆铁路、212省道及威红、大响、英大等","92天","19.8",\N,"XX建筑安装工程公司-工程周转2-1-4","重庆市登科信用有限公司担保公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.5",\N
"90932",\N,\N,\N,"(约)王某房产抵押-经营周转2-1-1","100000",\N," 借款人自己经营沐浴中心8年多；月收毛收入在8万左右。借款人现用巴南区一处房产做抵押，建筑面积98.43平米，市场评估价值35万元左右，现借款10万元。借款用于室内装修和完善。收入稳定，本借款项目还款来源稳定，风险低。","61天","18.6",\N,"(约)王某房产抵押-经营周转2-1-1","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.3",\N
"90933",\N,\N,\N,"（约）穆某宝马车质押-经营周转2-1-2","100000",\N," 借款人自己经营餐饮行业；每月毛收入在30万左右。借款人现用宝马车做质押，市场评估价值30万元左右，现借款20万元。借款用于店面装修，收入稳定，本借款项目还款来源稳定，风险低。借款人一共借款三个月，有可能提前还款，所以暂借一个月，如有需要会续借续发。","61天","18.6",\N,"（约）穆某宝马车质押-经营周转2-1-2","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.3",\N
"90934",\N,\N,\N,"何某房产抵押-经营周转2-1-2","4.90000",\N," 借款人儿子自己承包工程项目，主要做消防承包。年收入在40万元以上；借款人用位于九龙坡区（重庆65中旁边）的一套房产做抵押。建筑面积81.01平米，市场评估价42万，借款23万元。借款用于儿子工程引进器材：收入稳定，本借款项目还款来源稳定，风险低。","30天","18",\N,"何某房产抵押-经营周转2-1-2","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.1",\N
"90935",\N,\N,\N,"(续借）王某房产抵押-经营周转1-1-6","200000",\N," 借款人从事汽车配件加工，在璧山，大足都有加工工厂。汽车配件有稳定的供货渠道，清晰的利润来源，自身经营风险小，利润稳定。现用璧山县城一套283㎡的全款房 做抵押，市场估值150万，借款100万元。本项目已经办理的抵押登记。","30天","18",\N,"经营周转1-1-6","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.1",\N
"90936",\N,\N,\N,"穆某宝马车质押-经营周转2-1-1","100000",\N," 借款人自己经营餐饮行业；每月毛收入在30万左右。借款人现用宝马车做质押，市场评估价值30万元左右，现借款20万元。借款用于店面装修，收入稳定，本借款项目还款来源稳定，风险低。借款人一共借款三个月，有可能提前还款，所以暂借一个月，如有需要会续借续发。","61天","18.6",\N,"穆某宝马车质押-经营周转2-1-1","重庆市登科信用担保有限公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2",\N
"90937",\N,\N,\N,"（约）XX建筑安装工程公司-工程周转2-1-40","250000",\N," 重庆市XX建筑安装工程有限公司成立于1999年公司主要经营：房屋建筑工程施工总承包壹级、市政公用工程施工总承包壹级、公路工程施工总承包叁级、建筑装修装饰工程专业承包贰级、公路路面工程专业承包叁级、公路路基工程专业承包叁级等。现承接贵州政府的盘南产业园区（盘南产业园区位于盘县南部，北距盘县县城约50公里，南距兴义市约30 公里。园区规划范围为54.7平方公里，涉及保田、大山、响水、马依、忠义和普田等6个乡镇，国土面积约586 平方公里，人口14.8万人。园区范围内，有南昆铁路、212省道及威红、大响、英大等","91天","19.8",\N,"（约）XX建筑安装工程公司-工程周转2-","重庆市登科信用有限公司担保公司",\N,"月息期本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.7",\N
