"89295","2015-06-26 10:30:00",\N,"还清时间： 
		   2015-07-12","某企业资金周转 
			   
		 (推荐标)","100,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","15
					天","19.00","抵押","资金周转",\N,\N,"还款方式：
		  
			
			 到期还本付息","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"89296","2015-06-26 10:20:00",\N,"还清时间： 
		   2015-07-27","某企业资金周转
			   
		 (推荐标)","400,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","1
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			一次性还款","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.20",\N
"89297","2015-06-26 10:00:00",\N,"还清时间： 
		   2015-09-27","某企业资金周转 
			   
		 (推荐标)","15000000","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","3
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			按月付息,到期还本","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.20",\N
"89298","2015-06-25 10:30:00",\N,"还清时间： 
		   2015-07-10","企业资金周转 
			   
		 (推荐标)","100,000.00","已还完","此借款有实力充足的第三方担保,并有担保人的房产作抵押，借款期限为十二个月。","15
					天","19.00","抵押","资金周转",\N,\N,"还款方式：
		  
			
			 到期还本付息","莫先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"89299","2015-06-25 10:00:00",\N,"还清时间： 
		   2015-09-25","企业资金周转
			   
		 (推荐标)","15000000","已还完","此借款有实力充足的第三方担保,并有担保人的房产作抵押，借款期限为十二个月。","3
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			按月付息,到期还本","莫先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.20",\N
"89300","2015-06-24 15:40:00",\N,"还清时间： 
		   2015-07-24","某企业资金周转
			   
		 (推荐标)","700,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","1
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			一次性还款","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.20",\N
"89301","2015-06-24 14:30:00",\N,"还清时间： 
		   2015-07-25","某企业资金周转
			   
		 (推荐标)","300,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","1
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			一次性还款","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.20",\N
"89302","2015-06-24 10:30:00",\N,"还清时间： 
		   2015-07-09","某企业资金周转
			   
		 (推荐标)","100,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","15
					天","19.00","抵押","资金周转",\N,\N,"还款方式：
		  
			
			 到期还本付息","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"89303","2015-06-24 10:20:00",\N,"还清时间： 
		   2015-07-24","某企业资金周转
			   
		 (推荐标)","400,000.00","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","1
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			一次性还款","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.20",\N
"89304","2015-06-24 10:00:00",\N,"还清时间： 
		   2015-09-24","某企业资金周转
			   
		 (推荐标)","15000000","已还完","借款人因资金周转需借款1500万，有实力雄厚的第三方自然人用价值3000万的商铺作抵押。","3
				  个月","20.00","抵押","资金周转",\N,\N,"还款方式：
		  
			按月付息,到期还本","刘先生",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.20",\N
