"91252",\N,\N,"2015-07-24","新手体验标(一次性还款)    编号：15500160","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-14",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91253",\N,\N,"2015-07-19","新手体验标(一次性还款)    编号：15500159","50000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-09",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91254",\N,\N,"2015-07-17","新手体验标(一次性还款)    编号：15500158","50000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-07",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91255",\N,\N,"2015-09-06","个人抵押贷(先息后本)    编号：15103601","120000","还款中","客户从事玻璃加工安装行业；借款用途：玻璃出厂货款费用；还款来源：经营性收入及安装项目回款。","2个月","14",\N,"资金周转",\N,"2015-07-06",\N,\N,"男","29岁","专科","已婚",\N,"合肥市瑶海区",\N,\N,\N,\N,\N
"91256",\N,\N,"2015-07-16","新手体验标(一次性还款)    编号：15500157","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-06",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91257",\N,\N,"2015-07-16","新手体验标(一次性还款)    编号：15500156","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-06",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91258",\N,\N,"2015-09-05","个人抵押贷(先息后本)    编号：15103501","80000","还款中","基本情况：客户从事某服装品牌代理；借款用途：补充库存；还款来源：经营性销售回款。","2个月","14",\N,"资金周转",\N,"2015-07-05",\N,\N,"女","27岁","专科","已婚",\N,"合肥市瑶海区",\N,\N,\N,\N,\N
"91259",\N,\N,"2015-07-14","新手体验标(一次性还款)    编号：15500155","50000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-07-04",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91260",\N,\N,"2015-07-08","新手体验标(一次性还款)    编号：15500154","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-28",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91261",\N,\N,"2015-07-04","新手体验标(一次性还款)    编号：15500153","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-24",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91262",\N,\N,"2015-07-03","新手体验标(一次性还款)    编号：15500152","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-23",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91263",\N,\N,"2015-06-29","新手体验标(一次性还款)    编号：15500151","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-19",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91264",\N,\N,"2015-08-21","企业经营贷(先息后本)    编号：15200112","100000","还款中","借款用途：企业今年订单增加，需要补充流动资金。还款来源：增加的产品销售收入。","2个月","14",\N,"资金周转",\N,"2015-06-21",\N,\N,"","","","",\N,"",\N,\N,\N,\N,\N
"91265",\N,\N,"2015-06-28","新手体验标(一次性还款)    编号：15500150","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-18",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91266",\N,\N,"2015-08-20","企业经营贷(先息后本)    编号：15200111","100000","还款中","借款用途：企业今年订单增加，需要补充流动资金。还款来源：增加的产品销售收入。","2个月","14",\N,"资金周转",\N,"2015-06-20",\N,\N,"","","","",\N,"",\N,\N,\N,\N,\N
"91267",\N,\N,"2015-06-26","新手体验标(一次性还款)    编号：15500149","100000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-16",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91268",\N,\N,"2015-06-25","新手体验标(一次性还款)    编号：15500148","200000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-15",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91269",\N,\N,"2015-08-14","企业经营贷(先息后本)    编号：15200110","150000","还款中","借款用途：企业今年订单增加，需要补充流动资金。还款来源：增加的产品销售收入。","2个月","14",\N,"资金周转",\N,"2015-06-14",\N,\N,"","","","",\N,"",\N,\N,\N,\N,\N
"91270",\N,\N,"2015-06-21","新手体验标(一次性还款)    编号：15500147","200000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-11",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91271",\N,\N,"2015-08-11","个人抵押贷(先息后本)    编号：15103401","100000","还款中","基本情况：客户从事酒水行业； 借款用途：酒水备货； 还款来源：货款回笼。","2个月","14",\N,"资金周转",\N,"2015-06-11",\N,\N,"男","43岁","本科","已婚",\N,"合肥市瑶海区",\N,\N,\N,\N,\N
"91272",\N,\N,"2015-06-19","新手体验标(一次性还款)    编号：15500146","200000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-09",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91273",\N,\N,"2015-06-18","新手体验标(一次性还款)    编号：15500145","200000","还款完成","新用户体验投资过程","10天","15",\N,"新用户体验",\N,"2015-06-08",\N,\N,"男","24岁","专科","未婚",\N,"合肥市包河区",\N,\N,\N,\N,\N
"91274",\N,\N,"2015-08-08","企业经营贷(先息后本)    编号：15200109","150000","还款中","借款用途：企业今年订单增加，需要补充流动资金。还款来源：增加的产品销售收入。","2个月","14",\N,"资金周转",\N,"2015-06-08",\N,\N,"","","","",\N,"",\N,\N,\N,\N,\N
