"6879","2015-08-13 11:37:46","2015-08-13 12:54:00",\N,"债权转让服务标","114303.53",\N,\N,"7天","0.00 
                  
                 
                  %",\N,\N,\N,\N,"按日计息，到期还本息","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6880","2015-08-12 15:55:32","2015-08-12 15:58:00",\N,"测试12","1000.00",\N,\N,"7天","0.00 
                  
                 
                  %",\N,\N,\N,\N,"按日计息，到期还本息","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6881","2015-08-11 18:06:30","2015-08-11 18:10:00",\N,"测试标的","1000.00",\N,\N,"3天","0.00 
                  
                 
                  %",\N,\N,\N,\N,"按日计息，到期还本息","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6882","2015-07-31 11:15:50","2015-07-31 11:22:37",\N,"测试测试","800.00",\N,\N,"6个月","20.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6883","2015-07-31 10:56:19","2015-07-31 11:12:16",\N,"测试测试","800.00",\N,\N,"3个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6884","2015-07-30 20:26:21","2015-07-30 20:41:12",\N,"测试测试","800.00",\N,\N,"3天","1.00 
                  
                 
                  %",\N,\N,\N,\N,"按日计息，到期还本息","测*",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6885","2014-12-31 19:40:46","2015-02-05 14:04:50",\N,"标十一: (先息后本）第十二期：某环境工程有限公司法人短期借款","50000.00",\N,\N,"3个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","zh******",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2.00",\N
"6886","2015-01-08 15:25:15","2015-02-05 14:04:37",\N,"标七: （等额本息）第三期：某灯光设计有限公司法人短期借款","50000.00",\N,\N,"3个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月等额本息还款","tx*****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"6887","2015-01-12 14:03:38","2015-02-05 08:56:00",\N,"标七: （等额本息）第五期：某饰业有限公司法人借款","50000.00",\N,\N,"6个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月等额本息还款","wc*****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"5.00",\N
"6888","2015-01-12 15:04:22","2015-02-04 22:34:00",\N,"标十: (先息后本）第三期：某设备工程有限公司法人短期借款","50000.00",\N,\N,"2个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","ty*****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.00",\N
"6889","2015-01-19 20:23:47","2015-02-04 11:12:00",\N,"标十三: (先息后本）第三期：某贸易有限公司法人借款","50000.00",\N,\N,"6个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","ww***",\N,\N,\N,\N,\N,\N,\N,\N,\N,"7.00",\N
"6890","2015-02-01 13:45:05","2015-02-04 09:32:00",\N,"标三: 第二期：某科技集团有限公司法人短期借款","50000.00",\N,\N,"1个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","zy**",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6891","2015-01-27 13:54:36","2015-02-02 12:29:22",\N,"(先息后本）第三十期：某贸易有限公司法人借款","250000.00",\N,\N,"6个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","ww***",\N,\N,\N,\N,\N,\N,\N,\N,\N,"7.00",\N
"6892","2015-01-27 13:53:46","2015-02-02 09:55:31",\N,"(先息后本）第二十九期：某贸易有限公司法人借款","50000.00",\N,\N,"6个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","ww***",\N,\N,\N,\N,\N,\N,\N,\N,\N,"7.00",\N
"6893","2015-01-27 13:53:04","2015-02-02 09:25:50",\N,"(先息后本）第二十八期：某贸易有限公司法人借款","60000.00",\N,\N,"6个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","ww***",\N,\N,\N,\N,\N,\N,\N,\N,\N,"7.00",\N
"6894","2015-02-01 13:45:05","2015-02-02 00:24:00",\N,"标二: 第二期：某科技集团有限公司法人短期借款","50000.00",\N,\N,"1个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","zy**",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6895","2015-01-30 14:34:52","2015-02-01 22:18:00",\N,"标一: 第二期：某科技集团有限公司法人短期借款","50000.00",\N,\N,"1个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","zy**",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
"6896","2015-01-30 17:33:40","2015-02-01 13:18:00",\N,"标三: 第二十四期：某金属材料有限公司法人短期借款","60158.00",\N,\N,"1个月","22.00 
                  
                 
                  %",\N,\N,\N,\N,"按月付息，到期还本","j**",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00",\N
