"26041",\N,\N,\N,"借款用户 : pinshengcf031    房产对接标30万 ","300000",\N,\N," 12 
                          个月","20.00",\N,"借款用途：短期周转",\N,"2015-02-16 10:39","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26042",\N,\N,\N,"借款用户 : pinshengcf039    雷克萨斯车辆抵押一月标01【05… ","90000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-05-04 10:00","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26043",\N,\N,\N,"借款用户 : pinshengcf014    荣威550车辆抵押一月标【043… ","60000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-30 09:31","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26044",\N,\N,\N,"借款用户 : pinshengcf005    丰田凯美瑞车辆抵押一月标【043… ","80178",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-30 09:24","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26045",\N,\N,\N,"借款用户 : pinshengcf005    丰田凯美瑞车辆抵押一月标【042… ","100000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-29 09:13","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26046",\N,\N,\N,"借款用户 : pinshengcf002    马自达6车辆质押一月标【0429… ","21557",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-29 09:10","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26047",\N,\N,\N,"借款用户 : pinshengcf002    马自达6车辆质押一月标【0428… ","80000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-28 09:24","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26048",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对接二月标0128… ","50000",\N,\N," 2 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-27 15:53","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2.60",\N
"26049",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对接二月标0031… ","50000",\N,\N," 2 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-27 09:44","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2.60",\N
"26050",\N,\N,\N,"借款用户 : pinshengcf037    奔驰E350车辆抵押一月标03【… ","30000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-27 09:06","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26051",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对一月标0151【… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-25 12:06","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.10",\N
"26052",\N,\N,\N,"借款用户 : pinshengcf037    【约】奔驰E350车辆抵押一月标… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-24 16:06","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26053",\N,\N,\N,"借款用户 : pinshengcf037    奔驰E350车辆抵押一月标01【… ","100000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-24 16:04","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26054",\N,\N,\N,"借款用户 : pinshengcf045    五菱车辆质押一月标【0424】3… ","33000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-24 09:29","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26055",\N,\N,\N,"借款用户 : pinshengcf044    奔腾B70车辆质押一月标【042… ","20244",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-23 09:10","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26056",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对接一月标0043… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-22 17:22","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.10",\N
"26057",\N,\N,\N,"借款用户 : pinshengcf044    奔腾B70车辆质押一月标【042… ","40000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-22 09:05","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26058",\N,\N,\N,"借款用户 : pinshengcf011    【约】奥迪车辆质押一月标【042… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-21 11:49","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26059",\N,\N,\N,"借款用户 : pinshengcf043    长城H3车辆抵押一月标【0421… ","16739",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-21 09:01","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26060",\N,\N,\N,"借款用户 : pinshengcf043    长城H3车辆抵押一月标【0420… ","30000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,"2015-04-20 09:33","还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26061",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对接二月标0053… ","50000",\N,\N," 2 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2.60",\N
"26062",\N,\N,\N,"借款用户 : liwn01    长城车辆质押一月标【0418】5… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26063",\N,\N,\N,"借款用户 : pinshengcf004    【约】三菱车辆质押一月标03【0… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26064",\N,\N,\N,"借款用户 : pinshengcf004    三菱车辆质押一月标02【0417… ","70000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26065",\N,\N,\N,"借款用户 : pinshengcf042    力帆720车辆对接二月标0165… ","50000",\N,\N," 2 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2.60",\N
"26066",\N,\N,\N,"借款用户 : pinshengcf041    现代伊兰特车辆对接一月标【041… ","30000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.10",\N
"26067",\N,\N,\N,"借款用户 : pinshengcf004    三菱车辆质押一月标01【0416… ","80000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26068",\N,\N,\N,"借款用户 : pinshengcf036    【约】奥迪A6车辆抵押一月标03… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26069",\N,\N,\N,"借款用户 : pinshengcf036    奥迪A6车辆抵押一月标02【04… ","70000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26070",\N,\N,\N,"借款用户 : pinshengcf036    奥迪A6车辆抵押一月标01【04… ","80000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26071",\N,\N,\N,"借款用户 : pinshengcf033    起亚福瑞迪车辆抵押一月标02【0… ","30000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26072",\N,\N,\N,"借款用户 : pinshengcf022    大众帕萨特车辆对接过户标【041… ","80000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.10",\N
"26073",\N,\N,\N,"借款用户 : pinshengcf032    丰田卡罗拉车辆抵押一月标【041… ","70000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"26074",\N,\N,\N,"借款用户 : pinshengcf033    【约】起亚福瑞迪车辆抵押一月标0… ","50000",\N,\N," 1 
                          个月","18.00",\N,"借款用途：短期周转",\N,\N,"还款方式：每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
