"166064","2015-08-17","2015-11-16",\N,"质押-汽车-12年路虎揽胜【宜昌分站】项目编号：XM2015081510847","500000","投资","抵押物信息
    
      
	品牌：路虎　车牌号：鄂EXXXXX 　　

	公里数：95984     购买日期：2012年8月24日 　　

	购买价格：1455000元　年审检验合格至：2016年8月 　　

	评估价格：80万　借款金额：50万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"宜昌市","10000","有",\N,\N,\N
"166065","2015-08-18","2015-11-17",\N,"抵押-汽车-15年吉利【聊城分站】项目编号：XM2015081710849","2.50000","正在还款","抵押物信息
    
      
	品牌：吉利　 车牌号：鲁PXXXXX

	公里数：7061     购买日期：2015年5月20日 　

	购买价格：45000元　 年审检验合格至：2017年5月

	聊城市二手车出售价：4万元     借款金额：2.5万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"未婚",\N,"聊城市","4000","无",\N,\N,\N
"166066","2015-08-17","2015-11-16",\N,"抵押-汽车-12年大众帕萨特【滕州分站】项目编号：XM2015081710848","80000","正在还款","抵押物信息
    
      
	品牌：大众帕萨特　 车牌号：鲁DXXXXX 　

	公里数：80130     购买日期：2012年2月2日 　　

	购买价格：229800元　年审检验合格至：2016年2月 　　

	滕州二手车出售价：145000 元   借款金额：8万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"滕州市","20000","有",\N,\N,\N
"166067","2015-08-17","2015-11-16",\N,"质押-汽车-12年宝马mini【宜昌分站】项目编号：XM2015081110841","120000","正在还款","抵押物信息
    
      
	品牌：宝马　车牌号：鄂EXXXXX 　　

	公里数：90980  购买日期：2012年2月15日 　　

	购买价格：302000元　年审检验合格至：2016年2月 　　

	评估价格：20万　借款金额：12万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"当阳市","8000","单位：个体",\N,\N,\N
"166068","2015-08-16","2015-11-15",\N,"质押-汽车-13年广汽传祺【宜昌分站】项目编号：XM2015081110840","90000","正在还款","抵押物信息
    
      
	品牌：传祺　车牌号：鄂EXXXXX  　　

	公里数：40884    购买日期：2013年3月8日　　

	购买价格：151800元　年审检验合格至：2017年3月 　　

	评估价格：12.5万　借款金额：9万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"当阳市","社保：有连续社保记录","单位：个体",\N,\N,\N
"166069","2015-08-16","2015-11-15",\N,"质押-汽车-11年奥迪A6L【邯郸分站】项目编号：XM2015081410844","180000","正在还款","抵押物信息
    
      
	品牌：奥迪　车牌号：冀DXXXXX

	公里数：3100  购买日期：2011年9月20日

	购买价格：456768元　年审检验合格至：2015年10月

	评估价格：25万　借款金额：18万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"邯郸市","职位：经理","有",\N,\N,\N
"166070","2015-08-14","2015-11-13",\N,"抵押-房产-济邹花园【济宁分站】 项目编号：XM2015081410846","250000","正在还款","抵押物信息
    
      
	市值：540000元

	小区名称：济邹花园　面积：79.22㎡ 储藏室9.21㎡ 　 　　

	登记日期：2007年　产权性质：商品房　装修：普通装修　 　　

	评估单位：济宁龙腾房地产评估咨询有限公司（银行指定）　

	评估金额：512160元 借款金额：25万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"已婚",\N,"户籍地：济宁市","年20-25万以上","是否有其他房产：是",\N,\N,\N
"166071","2015-08-14","2015-11-13",\N,"抵押-汽车-15款长安逸动【济宁分站】项目编号：XM2015081410845","30000","正在还款","抵押物信息
    
      
	品牌：长安     车牌号：鲁HXXXXX 　　

	公里数：6700公里　　购买日期：2015年3月 　　

	购买价格：7.4万元　　年审检验合格至：2017年3月 　　

	济宁市二手车出售价：6.5万　   借款金额：3万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"",\N,\N,"",\N,"","","收入：10000-15000元",\N,\N,\N
"166072","2015-08-14","2015-11-11",\N,"好易投-北京房产-龙泽苑东区(二期)【尚诺集团&安家信诺】项目编号：XM2015081010835","500000","正在还款","抵押物信息
    
      
	小区名称：龙泽苑东区　面积：104.92平　

	登记日期：2015年　产权性质：住宅　装修：普通装修　　

	评估金额：280万    借款金额：110万

	用款期限：3个月    可提前还款","89天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"",\N,\N,"",\N,"","","是否有其他房产：有",\N,\N,\N
"166073","2015-08-13","2015-11-12",\N,"抵押-房产-居安家园【济宁分站】项目编号：XM2015081210843","80000","正在还款","抵押物信息
    
      
	小区名称：居安家园　面积：76.80平方　市值：176640元

	登记日期：2011年　产权性质：商品房　装修：普通装修　

	评估单位：济宁龙腾房地产评估咨询有限公司　

	借款金额：8万","91天","18	   ",\N,\N,\N,\N,"按月付息,到期还本",\N,"男",\N,\N,"未婚",\N,"户籍地：邹城","年10-15万以上","是否有其他房产：是",\N,\N,\N
