"18017",\N,\N,\N,"汽车抵押 经营资金周转","100000","已还完",\N,"1个月","18.00",\N,"",\N,"2014-09-29 10:30:30","按月分期",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"18018",\N,\N,\N,"企业周转借款10万","100000","已还完",\N,"1个月","18.00",\N,"",\N,"2014-09-28 16:37:31","按月分期",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"18019",\N,\N,\N,"庆祝平台上线-01秒标","88888","已还完",\N,"额满即还","6.60",\N,"",\N,"2014-09-28 15:30:16","到期还本按月付息",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"18020",\N,\N,\N,"个人抵押借款5万元_6_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-24 09:57:54","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18021",\N,\N,\N,"个人抵押借款3万元_2_20150128A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-24 10:28:46","到期还本按月付息",\N,"男","46岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18022",\N,\N,\N,"个人抵押借款3万元_1_20150128A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-23 10:28:57","到期还本按月付息",\N,"男","46岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18023",\N,\N,\N,"个人抵押借款5万元_5_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-23 10:03:31","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18024",\N,\N,\N,"个人抵押借款3万元_3_2015026A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-22 10:28:22","到期还本按月付息",\N,"男","25岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18025",\N,\N,\N,"个人抵押借款5万元_4_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-22 10:06:46","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18026",\N,\N,\N,"个人抵押借款5万元_3_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-21 09:58:27","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18027",\N,\N,\N,"个人抵押借款3万元_2_2015026A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-21 10:19:04","到期还本按月付息",\N,"男","25岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18028",\N,\N,\N,"个人抵押借款5万元_2_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-20 09:57:36","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18029",\N,\N,\N,"个人抵押借款3万元_4_20150415A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-18 10:29:37","到期还本按月付息",\N,"男","48岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18030",\N,\N,\N,"个人抵押借款3万元_1_2015026A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-20 10:30:55","到期还本按月付息",\N,"男","25岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18031",\N,\N,\N,"个人抵押借款5万元_1_20150418A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-18 10:01:46","到期还本按月付息",\N,"女","31岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18032",\N,\N,\N,"个人抵押借款3万元_3_20150415A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-17 10:30:59","到期还本按月付息",\N,"男","48岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18033",\N,\N,\N,"个人抵押借款5万元_5_20141120A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-17 09:58:17","到期还本按月付息",\N,"男","岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
"18034",\N,\N,\N,"个人抵押借款3万元_2_20150415A","30000","还款中",\N,"3个月","18.00",\N,\N,\N,"2015-04-16 10:18:43","到期还本按月付息",\N,"男","48岁",\N,\N,\N,\N,\N,\N,\N,"按比例6.00%",\N
"18035",\N,\N,\N,"个人抵押借款5万元_4_20141120A","50000","还款中",\N,"1个月","18.00",\N,"个人资金周转。",\N,"2015-04-16 09:57:54","到期还本按月付息",\N,"男","岁",\N,\N,\N,\N,\N,\N,\N,"按比例1.40%",\N
