"6161",\N,\N,\N,"001汽车抵押标","100000",\N,\N,"45天","18.00",\N,\N,\N,"2015-01-20 08:56:20","到期全额还款",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例3.00%",\N
"6162",\N,\N,\N,"1.20活动秒标","128888",\N,\N,"额满即还","10.80",\N,\N,\N,"2015-01-20 08:51:24","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6163",\N,\N,\N,"115信用担保标二","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-14 08:51:25","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6164",\N,\N,\N,"114信用担保标","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-13 08:57:16","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6165",\N,\N,\N,"113本田抵押标二","60000",\N,\N,"1个月","12.00",\N,\N,\N,"2015-05-12 09:51:00","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
"6166",\N,\N,\N,"112本田抵押标一","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-12 09:49:07","按月分期",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6167",\N,\N,\N,"5.12活动秒标","68888",\N,\N,"额满即还","6.08",\N,\N,\N,"2015-05-12 09:12:08","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6168",\N,\N,\N,"111信用担保标","80000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-11 09:57:29","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6169",\N,\N,\N,"110宝马抵押标四","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-09 08:52:21","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6170",\N,\N,\N,"109宝马抵押标三","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-08 09:02:26","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6171",\N,\N,\N,"108宝马抵押标二","50000",\N,\N,"1个月","12.00",\N,\N,\N,"2015-05-08 08:50:02","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
"6172",\N,\N,\N,"5.8活动秒标","68888",\N,\N,"额满即还","6.08",\N,\N,\N,"2015-05-08 08:49:11","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6173",\N,\N,\N,"107宝马抵押标一","50000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-08 08:47:38","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6174",\N,\N,\N,"106风神汽车抵押标","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-07 09:41:32","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6175",\N,\N,\N,"105大众抵押标","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-06 09:37:49","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6176",\N,\N,\N,"104一汽汽车抵押标","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-05 11:02:32","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例1.50%",\N
"6177",\N,\N,\N,"5.5活动秒标","68888",\N,\N,"额满即还","6.08",\N,\N,\N,"2015-05-05 09:07:02","额满即还",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"没有奖励",\N
"6178",\N,\N,\N,"103雷克萨斯抵押标二","17725",\N,\N,"1个月","12.00",\N,\N,\N,"2015-05-05 08:52:36","到期还本按月付息",\N,"男",\N,\N,\N,\N,\N,\N,\N,\N,"按比例2.00%",\N
