"22307","2015-06-30",\N,\N,"2015063001（第1期） 借贷编号：20150600017","100000.00",\N,\N,"3个月","18.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22308","2015-06-24",\N,\N,"2015052601（第20期） 借贷编号：20150600016","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22309","2015-06-23",\N,\N,"2015052601（第19期） 借贷编号：20150600015","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22310","2015-06-19",\N,\N,"2015052601（第18期） 借贷编号：20150600014","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22311","2015-06-18",\N,\N,"2015052601（第17期） 借贷编号：20150600013","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22312","2015-06-17",\N,\N,"2015052601（第16期） 借贷编号：20150600012","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22313","2015-06-16",\N,\N,"2015052601（第15期） 借贷编号：20150600011","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22314","2015-06-15",\N,\N,"2015052601（第14期） 借贷编号：20150600010","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22315","2015-06-12",\N,\N,"2015052601（第13期） 借贷编号：20150600009","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22316","2015-06-11",\N,\N,"2015052601（第12期） 借贷编号：20150600008","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22317","2015-06-10",\N,\N,"2015052601（第11期） 借贷编号：20150600007","100000.00",\N,\N,"6个月","15.0",\N,"公司周转-扩大 

   借款状态：投标",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"22318","2015-06-09",\N,\N,"2015060901 借贷编号：20150600006","100000.00",\N,\N,"1个月","17.0",\N,"其他 

   借款状态：投标22次成功",\N,\N,"到期还本，按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
