"20486",\N,\N,\N,"偿还标　[1935]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20487",\N,\N,\N,"偿还标　[1934]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20488",\N,\N,\N,"偿还标　[1933]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20489",\N,\N,\N,"偿还标　[1932]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20490",\N,\N,\N,"偿还标　[1931]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20491",\N,\N,\N,"偿还标　[1930]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20492",\N,\N,\N,"偿还标　[1929]","100000",\N,"万举偿还标","3个月","18.00",\N,"生意周转",\N,\N,"每月还息到期还本","平台38zy",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20493",\N,\N,\N,"偿还标　[1928]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20494",\N,\N,\N,"偿还标　[1927]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20495",\N,\N,\N,"偿还标　[1925]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20496",\N,\N,\N,"偿还标　[1924]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20497",\N,\N,\N,"偿还标　[1923]","100000",\N,"万举偿还标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20498",\N,\N,\N,"偿还标　[1922]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20499",\N,\N,\N,"偿还标　[1920]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20500",\N,\N,\N,"偿还标　[1919]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20501",\N,\N,\N,"偿还标　[1918]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20502",\N,\N,\N,"偿还标　[1917]","100000",\N,"万举补偿标","3个月","18.00",\N,"生意周转",\N,\N,"每月还息到期还本","lwztt",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20503",\N,\N,\N,"偿还标　[1916]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"生意周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20504",\N,\N,\N,"偿还标　[1914]","100000",\N,"万举补偿标","1个月","15.00（月利率1.25）",\N,"短期周转",\N,\N,"按月分期还款","平台38-万举",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
