"26250",\N,\N,\N,"【流转标】光电有限公司资金周转借款第三标100万共计600万","1000000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26251",\N,\N,\N,"信用标编号[2015052803547] 资金周转续借","40000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","未填写","未填写",\N,\N
"26252",\N,\N,\N,"【信用标】精英贷[资金周转借款]","50000.00","还款中",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26253",\N,\N,\N,"【信用标】资金周转续借","10000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","是","否",\N,\N
"26254",\N,\N,\N,"【信用标】资金周转续借","10000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","是","否",\N,\N
"26255",\N,\N,\N,"【信用标】资金周转续借","20000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"2000-5000元","是","否",\N,\N
"26256",\N,\N,\N,"【流转标】酒类销售公司资金周转借款第三标50万共计300万","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26257",\N,\N,\N,"【信用标】资金周转续借","20000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","是","否",\N,\N
"26258",\N,\N,\N,"信用标编号[2015052603492] 资金周转续借","40000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","未填写","未填写",\N,\N
"26259",\N,\N,\N,"【信用标】资金周转续借","20000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","否","否",\N,\N
"26260",\N,\N,\N,"【流转标】餐馆短期资金周转借款","500000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26261",\N,\N,\N,"【流转标】酒类销售公司资金周转借款第二标50万共计300万","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26262",\N,\N,\N,"【信用标】资金周转续借","20000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26263",\N,\N,\N,"【流转标】畜牧公司短期资金周转借款","100000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26264",\N,\N,\N,"【信用标】精英贷[资金周转借款]","20000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","是","是",\N,\N
"26265",\N,\N,\N,"【流转标】酒类销售公司资金周转借款第一标50万共计300万,,","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26266",\N,\N,\N,"【信用标】黑金约标","580900.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"未填写",\N,\N,\N,\N,\N,"未填写","否","否",\N,\N
"26267",\N,\N,\N,"【抵押标】车融宝【资金周转借款】","50000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","是","是",\N,\N
"26268",\N,\N,\N,"【信用标】资金周转续借","50000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"5000-10000元","是","是",\N,\N
"26269",\N,\N,\N,"【信用标】资金周转续借","50000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26270",\N,\N,\N,"【信用标】助业贷[资金周转借款]","40000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"女",\N,\N,\N,\N,\N,"10000元以上","否","是",\N,\N
"26271",\N,\N,\N,"【信用标】资金周转续借","50000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26272",\N,\N,\N,"【流转标】房产抵押续借第二标20万共计70万,","200000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26273",\N,\N,\N,"【流转标】资金周转续借","100000.00","",\N,"2月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","否","是",\N,\N
"26274",\N,\N,\N,"【流转标】矿业公司资金周转续借最后一标50万共计300万","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26275",\N,\N,\N,"【信用标】黑金约标","100000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"未填写",\N,\N,\N,\N,\N,"未填写","否","否",\N,\N
"26276",\N,\N,\N,"【流转标】矿业公司资金周转续借第五标50万共计300万","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26277",\N,\N,\N,"【信用标】资金周转续借","30000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"2000-5000元","是","否",\N,\N
"26278",\N,\N,\N,"【信用标】助业贷[资金周转借款]","30000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26279",\N,\N,\N,"【流转标】装饰公司资金周转借款","200000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26280",\N,\N,\N,"【信用标】资金周转续借","30000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"男",\N,\N,\N,\N,\N,"2000-5000元","否","否",\N,\N
"26281",\N,\N,\N,"【抵押标】房产抵押续借","60000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26282",\N,\N,\N,"【流转标】房产抵押续借第二标20万共计50万,","200000.00","",\N,"2月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26283",\N,\N,\N,"【流转标】矿业公司资金周转续借第四标50万共计300万,,,","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26284",\N,\N,\N,"【信用标】资金周转续借","30000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26285",\N,\N,\N,"【流转标】房产抵押续借第一标10万共计70万","100000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26286",\N,\N,\N,"【流转标】矿业公司资金周转续借第三标50万共计300万,,","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26287",\N,\N,\N,"【流转标】矿业公司资金周转续借第二标50万共计300万,,","500000.00","",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
"26288",\N,\N,\N,"【信用标】尊享黑金VIP定向标","630000.00","还款中",\N,"1月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"未填写",\N,\N,\N,\N,\N,"未填写","否","否",\N,\N
"26289",\N,\N,\N,"【信用标】精英贷[资金周转借款]","30000.00","还款中",\N,"12月","20.8",\N,\N,\N,\N,"等额本息",\N,"男",\N,\N,\N,\N,\N,"5000-10000元","是","否",\N,\N
"26290",\N,\N,\N,"【信用标】资金周转续借","30000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"女",\N,\N,\N,\N,\N,"5000-10000元","是","是",\N,\N
"26291",\N,\N,\N,"【信用标】资金周转续借","30000.00","还款中",\N,"6月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","否",\N,\N
"26292",\N,\N,\N,"【流转标】茶园短期资金周转借款","120000.00","",\N,"3月","20.8",\N,\N,\N,\N,"到期还本,按月付息",\N,"男",\N,\N,\N,\N,\N,"10000元以上","是","是",\N,\N
