"6463",\N,\N,\N,"20150519A 企业-银行过桥担保标","600000","还款中",\N,"15天","21.60",\N,\N,\N,"审核时间：2015-05-19 14:55:13","到期全额还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6464",\N,\N,\N,"20140305 三月标逾期定向标","750000","已还完",\N,"2个月","21.60",\N,\N,\N,"审核时间：2015-03-05 21:37:55","到期还本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无",\N
"6465",\N,\N,\N,"平台28信用提现标（三十四）","382413","已还完",\N,"15天","21.60",\N,\N,\N,"审核时间：2015-01-20 22:37:03","到期全额还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无",\N
"6466",\N,\N,\N,"平台28信用提现标（二十四）","429250","已还完",\N,"15天","21.60",\N,\N,\N,"审核时间：2015-01-10 20:38:04","到期全额还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无",\N
"6467",\N,\N,\N,"平台28信用提现标（十四）","252000","已还完",\N,"15天","21.60",\N,\N,\N,"审核时间：2014-12-31 21:21:51","到期全额还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无",\N
"6468",\N,\N,\N,"平台28信用提现标（四）","135000","已还完",\N,"15天","21.60",\N,\N,\N,"审核时间：2014-12-22 15:13:44","到期全额还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无",\N
"6469",\N,\N,\N,"20141215 一月房产抵押标，短期资金周转 拆（十二）（约标）","100000","已还完",\N,"1个月","21.60",\N,\N,\N,"审核时间：2014-12-15 11:49:48","按月分期",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6470",\N,\N,\N,"20141213 一月房产抵押标，短期资金周转 拆（五）（约标）","100000","已还完",\N,"1个月","21.60",\N,\N,\N,"审核时间：2014-12-13 08:44:32","按月分期",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6471",\N,\N,\N,"20141210 一月房产抵押标，短期资金周转 拆（一）（约标）","100000","已还完",\N,"1个月","21.60",\N,\N,\N,"审核时间：2014-12-10 09:11:23","按月分期",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6472",\N,\N,\N,"20141207 一月房产抵押标，短期资金周转 拆（四）（约标）","100000","已还完",\N,"1个月","21.60",\N,\N,\N,"审核时间：2014-12-07 09:19:37","按月分期",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6473",\N,\N,\N,"20141203 一月房产抵押标，短期资金周转 拆（八）","50000","已还完",\N,"1个月","21.60",\N,\N,\N,"审核时间：2014-12-03 10:14:58","按月分期",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
