"6333",\N,\N,\N,"  田某车辆抵押借款（1）
		 借款标编号：244","60000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-07-03","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.8",\N
"6334",\N,\N,\N,"  回馈新老客户活动标的（3）
		 借款标编号：243","200000",\N,\N,"7天","18.00",\N,\N,\N,"2015-06-29","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.8",\N
"6335",\N,\N,\N,"  赎楼标DJ20150512( 3 )
		 借款标编号：242","160000",\N,\N,"20天","18.00",\N,\N,\N,"2015-06-17","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6336",\N,\N,\N,"  回馈新老客户活动标的（2）
		 借款标编号：241","100000",\N,\N,"7天","18.00",\N,\N,\N,"2015-05-25","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.8",\N
"6337",\N,\N,\N,"  赎楼标DJ20150512( 2 )
		 借款标编号：240","160000",\N,\N,"20天","18.00",\N,\N,\N,"2015-05-25","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6338",\N,\N,\N,"  回馈新老客户活动标的（1）
		 借款标编号：239","100000",\N,\N,"7天","18.00",\N,\N,\N,"2015-05-19","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.8",\N
"6339",\N,\N,\N,"  赎楼标DJ20150512( 1 )
		 借款标编号：238","160000",\N,\N,"20天","18.00",\N,\N,\N,"2015-05-12","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6340",\N,\N,\N,"  杨某房屋抵押借款（3 ）
		 借款标编号：237","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-08","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6341",\N,\N,\N,"   7天娱乐标
		 借款标编号：236","50000",\N,\N,"7天","13.50",\N,\N,\N,"2015-05-07","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","",\N
"6342",\N,\N,\N,"  杨某房屋抵押借款（2 ）
		 借款标编号：235","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-06","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6343",\N,\N,\N,"  7天娱乐标
		 借款标编号：234","50000",\N,\N,"7天","13.50",\N,\N,\N,"2015-05-04","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","",\N
"6344",\N,\N,\N,"  杨某房屋抵押借款（1）
		 借款标编号：232","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-05-01","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6345",\N,\N,\N,"  7天娱乐标
		 借款标编号：231","50000",\N,\N,"7天","13.50",\N,\N,\N,"2015-05-01","还款方式：
            
           	 
           	 
           	 
           	 
           	 
           	按日算息",\N,"性别：
	
	女",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","",\N
"6346",\N,\N,\N,"  张某健康设备抵押借款
		 借款标编号：230","460000",\N,\N,"3个月","18.00",\N,\N,\N,"2015-04-23","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	女",\N,"专科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6347",\N,\N,\N,"  高某房屋抵押借款（5）
		 借款标编号：229","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-22","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6348",\N,\N,\N,"  高某房屋抵押借款（4 ）
		 借款标编号：228","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-21","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6349",\N,\N,\N,"  高某房屋抵押借款（3）
		 借款标编号：227","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-17","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
"6350",\N,\N,\N,"  高某房屋抵押借款（2）
		 借款标编号：226","100000",\N,\N,"1个月","18.00",\N,\N,\N,"2015-04-14","还款方式：
            
           	 
           	 
           	 
           	 
           	  到期一次付清",\N,"性别：
	
	
	男",\N,"本科","婚姻状况：
		
		
		已婚",\N,\N,"50000以上","已购房","是","0.1",\N
