"3345",\N,\N,\N,"平台25发展基金6.15日","50000","还款中","平台25发展基金6.15日","1个月","18.00",\N,"创业借款",\N,\N,"每月还息到期还本",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","无","个体经营"
"3346",\N,\N,\N,"平台25发展基金","200000","还款中","","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3347",\N,\N,\N,"【6月11日】企业借款+货物质押标","50000","还款中","详细说明见【6月11日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3348",\N,\N,\N,"【6月11日】汽车抵押标·续集","50000","还款中","详细说明见【6月11日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3349",\N,\N,\N,"【约t***j】车辆抵押业务续借","50000","还款中","【4月10日二月5万业务续投】借款人续借一月，已于投资人沟通，续投该业务。 


	感谢支持！","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3350",\N,\N,\N,"【6月10日】企业借款+货物质押标","50000","还款中","详细说明见【6月10日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3351",\N,\N,\N,"【6月9日】企业借款+货物质押标","50000","还款中","详细说明见【6月9日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3352",\N,\N,\N,"【6月9日】企业借款+汽车质押标","50000","还款中","详细说明见【6月9日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3353",\N,\N,\N,"【6月8日】企业借款+货物质押标","50000","还款中","详细说明见【6月8日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3354",\N,\N,\N,"【6月8日】企业借款+汽车质押标","50000","还款中","详细说明见【6月8日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3355",\N,\N,\N,"【6月5日】企业借款+货物质押标","50000","还款中","详细说明见【6月5日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3356",\N,\N,\N,"【6月5日】企业借款+汽车质押标","50000","还款中","详细说明见【6月5日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3357",\N,\N,\N,"【约：6月5日】企业借款+货物质押标 · 三月标  约标人：k***d和z**m","100000","还款中","详细说明见【6月5日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3358",\N,\N,\N,"【6月4日】企业借款+货物质押标","50000","还款中","详细说明见【6月4日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3359",\N,\N,\N,"【6月4日】企业借款+汽车质押标","50000","还款中","详细说明见【6月4日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3360",\N,\N,\N,"【约：6月4日】企业借款+货物质押标 · 三月标 约标人：t***a","200000","还款中","详细说明见【6月4日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3361",\N,\N,\N,"【6月3日】企业借款+货物质押标","50000","还款中","详细说明见【6月3日】发标公告","3个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
"3362",\N,\N,\N,"【6月3日】企业借款+汽车质押标","50000","还款中","详细说明见【6月3日】发标公告","1个月","18.00",\N,"短期周转",\N,\N,"",\N,"男","成功人士","大专或本科","已婚",\N,\N,"0","","","","个体经营"
