"166854",\N,\N,\N,"文化培训学校借款50万，期限3个月","500000.00",\N,"1、借款人介绍：
1.1借款人在大连经营某文化培训学校，经公司风控人员上门实地考察；
1.2核实客户年流水800万；
1.3核实客户月收入6万；
2、借款用途：短期资金周转
3、借款金额：50万元；

材料公示说明：该借款已做公证和抵押登记，公证书和他项权证待取回后补充；","3个月","16",\N,"1、借款人介绍：
1.1借款人在大连经营",\N,"2015-08-21 11:00:00","每月还息到期还本","wangc210203",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"166855",\N,\N,\N,"【信楼贷】资金周转","53200.00",\N,"借款人在某商贸公司工作，收入稳定，已购置房产，借款用于资金周转。

备注：此借款投标可获得平台奖励2%，按月发放。","24个月","16",\N,"借款人在某商贸公司工作，收入稳定，已购置",\N,"2015-08-21 11:10:00","按月还款等额本息","cthxmouyh",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166856",\N,\N,\N,"【公积金贷】资金周转","48400.00",\N,"借款人在事业单位工作，工作稳定，收入稳定，借款用于资金周转；

备注：此借款投标可获得平台奖励2%，按月发放。","24个月","16",\N,"借款人在事业单位工作，工作稳定，收入稳定",\N,"2015-08-21 11:10:00","按月还款等额本息","cthxzhaoyl1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166857",\N,\N,\N,"【精英贷】资金周转","36900.00",\N,"借款人在一家油墨公司工作，收入稳定，名下有房产，借款用于资金周转。

备注：此借款投标可获得平台奖励2%，按月发放。","24个月","16",\N,"借款人在一家油墨公司工作，收入稳定，名下",\N,"2015-08-21 11:20:00","按月还款等额本息","cthxchengd",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166858",\N,\N,\N,"【助业贷】资金周转","55600.00",\N,"借款人经营商贸公司，收入稳定，借款用于资金周转。

备注：此借款投标可获得平台奖励2%，按月发放。","24个月","16",\N,"借款人经营商贸公司，收入稳定，借款用于资",\N,"2015-08-21 11:20:00","按月还款等额本息","cthxsuny1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166859",\N,\N,\N,"【公积金贷】资金周转","51500.00",\N,"借款人在事业单位工作，工作稳定，收入稳定，借款用于资金周转；

备注：此借款投标可获得平台奖励2%，按月发放。","36个月","16",\N,"借款人在事业单位工作，工作稳定，收入稳定",\N,"2015-08-21 11:40:00","按月还款等额本息","cthxzhouj11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166860",\N,\N,\N,"【信楼贷】资金周转","35300.00",\N,"借款人经营一家商贸公司，收入稳定，已购置房产，借款用于资金周转。

备注：此借款投标可获得平台奖励2%，按月发放。","12个月","16",\N,"借款人经营一家商贸公司，收入稳定，已购置",\N,"2015-08-21 11:50:00","按月还款等额本息","cthxzhengjs",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166861",\N,\N,\N,"医疗器械公司新增借款20万，期限3个月","200000.00",\N,"1、借款人介绍：
1.1借款人在天津经营某医疗器械公司，经公司风控人员上门实地考察；
1.2核实客户年流水500万；
1.3核实客户月收入3万；
2、借款用途：短期资金周转
3、借款金额：新增 20万；

材料公示说明：该借款已做公证，公证书待取回后补充；","3个月","16",\N,"1、借款人介绍：
1.1借款人在天津经营",\N,"2015-08-21 13:30:00","每月还息到期还本","sunlp120103",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"166862",\N,\N,\N,"【信楼贷】资金周转","53200.00",\N,"借款人为某公司技术员，工作稳定，收入稳定，借款用于资金周转；


备注：此借款投标可获得平台奖励2%，按月发放。","24个月","16",\N,"借款人为某公司技术员，工作稳定，收入稳定",\N,"2015-08-21 13:40:00","按月还款等额本息","cthxzhangd66",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N
"166863",\N,\N,\N,"金属加工生意经营借款30万，期限3个月","300000.00",\N,"1、借款人介绍：
1.1借款人在大连经营金属加工生意  ；经公司风控人员上门实地考察
1.2核实客户年流水 600 万；
1.3核实客户月收入  4 万；
2、借款用途：短期资金周转
3、借款金额：30万；

材料说明：该借款已做公证和抵押登记，公证书和他项权证待取回后补充","3个月","16",\N,"1、借款人介绍：
1.1借款人在大连经营",\N,"2015-08-21 14:00:00","每月还息到期还本","jinf210212",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
