"163789",\N,\N,\N,"房产买卖交易赎楼","420000","预期收益：",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-08-05 14:01:06","还款方式: 一次性还本付息",\N,"性别： 男","年龄：46","文化程度：大专","婚姻状况：已婚","从事行业：制造业","居住城市：福建   福州","收入水平：5000-10000元/月","是否名下有房：有1套
									",\N,\N,\N
"163790",\N,\N,\N,"五金电料门市借款","350000","还款中",\N,"3 个月","16.00",\N,\N,"武安市万嘉工业品市场服务...","2015-08-03 10:32:37","还款方式: 按期付息，到期还本",\N,"","","","","","","收入水平：5万元以上/月","其他资产：存货抵押",\N,\N,\N
"163791",\N,\N,\N,"房产买卖交易赎楼","49.400000","还款中",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-08-03 19:10:09","还款方式: 一次性还本付息",\N,"性别： 男","年龄：38","文化程度：大专","婚姻状况：离异","从事行业：其他","居住城市：福建   福州","收入水平：5000-10000元/月","是否名下有房：有1套
									",\N,\N,\N
"163792",\N,\N,\N,"房产买卖交易赎楼","500000","还款中",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-07-29 11:29:20","还款方式: 一次性还本付息",\N,"性别： 男","年龄：38","文化程度：大专","婚姻状况：离异","从事行业：其他","居住城市：福建   福州","收入水平：5000-10000元/月","是否名下有房：有1套
									",\N,\N,\N
"163793",\N,\N,\N,"房产买卖交易赎楼","850000","还款中",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-07-28 13:44:19","还款方式: 一次性还本付息",\N,"性别： 男","年龄：38","文化程度：大专","婚姻状况：已婚","从事行业：制造业","居住城市：福建   福州","收入水平：10000-20000元/月","是否名下有房：有1套
									",\N,\N,\N
"163794",\N,\N,\N,"工薪族车辆质押借款","50000","还款中",\N,"3 个月","16.00",\N,\N,"福建省祥云投资管理有限公司","2015-07-27 21:16:32","还款方式: 按期付息，到期还本",\N,"","","","","性别： 女","","收入水平：5000-10000元/月","是否名下有车：有1辆
									",\N,\N,\N
"163795",\N,\N,\N,"工薪族车辆质押借款","200000","还款中",\N,"3 个月","16.00",\N,\N,"福建省祥云投资管理有限公司","2015-07-28 11:41:03","还款方式: 按期付息，到期还本",\N,"","","","","性别： 男","","收入水平：10000-20000元/月","是否名下有车：有1辆
									",\N,\N,\N
"163796",\N,\N,\N,"房产买卖交易赎楼","72.800000","还款中",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-07-27 09:51:48","还款方式: 一次性还本付息",\N,"性别： 女","年龄：22","文化程度：本科","婚姻状况：未婚","从事行业：","居住城市：福建   平潭","收入水平：10000-20000元/月","是否名下有房：有1套
									",\N,\N,\N
"163797",\N,\N,\N,"房产买卖交易赎楼","50.100000","还款中",\N,"3 个月","16.00",\N,\N,"福建省中天融资担保有限公司","2015-07-22 11:26:07","还款方式: 一次性还本付息",\N,"性别： 男","年龄：34","文化程度：本科","婚姻状况：已婚","从事行业：其他","居住城市：福建   福州","收入水平：10000-20000元/月","是否名下有房：有1套
									",\N,\N,\N
"163798",\N,\N,\N,"机动车质押周转借款","300000","还款中",\N,"3 个月","16.00",\N,\N,"福建省祥云投资管理有限公司","2015-07-21 11:38:03","还款方式: 按期付息，到期还本",\N,"","","","","","","收入水平：5万元以上/月","是否名下有车：有1辆
									",\N,\N,\N
