"100905",\N,\N,\N,"陈小姐商铺贷CS201506292","45,000",\N,\N,"2 个月","18.00",\N,\N,\N,"2015-07-29 11:37:54","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"1",\N
"100906",\N,\N,\N,"魏小姐商铺贷CS201506291","70,000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015-07-29 11:38:18","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"0.2",\N
"100907",\N,\N,\N,"严小姐商铺贷CS201506283","85,000",\N,\N,"3 个月","18.00",\N,\N,\N,"2015-07-28 11:45:30","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"2",\N
"100908",\N,\N,\N,"谢先生商铺贷CS201506282","40,000",\N,\N,"2 个月","18.00",\N,\N,\N,"2015-07-28 11:26:42","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"1",\N
"100909",\N,\N,\N,"余先生商铺贷CS201506281","80,000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015-07-28 11:25:07","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"0.2",\N
"100910",\N,\N,\N,"罗先生商铺贷 CS201506272","88,000",\N,\N,"3 个月","18.00",\N,\N,\N,"2015-07-27 10:01:16","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"2",\N
"100911",\N,\N,\N,"陈先生商铺贷CS201506271","60,000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015-07-27 12:16:43","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"0.2",\N
"100912",\N,\N,\N,"杜小姐商铺贷CS201506263","100,000",\N,\N,"3 个月","18.00",\N,\N,\N,"2015-07-26 10:09:37","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"2",\N
"100913",\N,\N,\N,"钟先生商铺贷CS201506262","60,000",\N,\N,"2 个月","18.00",\N,\N,\N,"2015-07-26 14:32:56","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"1",\N
"100914",\N,\N,\N,"吴先生商铺贷CS201506261","110,000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015-07-26 14:32:26","到期还本按月付息",\N,"性别
                 ","年龄
                 ",\N,"学历
                 ",\N,\N,\N,\N,\N,"0.2",\N
