"24986","2015-05-07",\N,\N,"代理商门店借款标（2015050701） 借贷编号：20150500009","100000","已还完","杭州企泰环保科技有限公司，是一家以创新商业模式为先导，经营家用、商用环境电器为主的高科技企业。作为国内首批真正规模化生产净水设备（自动售水机、校园直饮机、家用净水机、）空气净化器等生活电器的厂家，拥有1.5万平方的规模化生产基地，旗下组成杭州万淳净水设备有限公司、郑州企泰技术服务有限公司、河南，四川企泰办事处等多家运营公司。公司目前年总营业额已达9千万左右，净利润占7—8个百分点，公司总贷款330万（抵押贷款），是个非常有市场前景的公司。同时公司配有自己的运营策划，项目研发，售后服务团队。全国已有900多家代理商，销量在全国排名居首，是央视公认的净水信得过企业。公司已有专利20多项，荣获“行业十大品牌”“社区自动售水机第一品牌”“家用净水机十大品牌”“空气净化器金点子奖“等多项荣誉证书。","1个月","18.0",\N,"其他 

   借款状态：投标1次成功，","企泰环保科技有限公司",\N,"到期还本还息","宋**","男","43","","已婚",\N,"甘肃",\N,"有",\N,\N,\N
"24987","2015-05-06",\N,\N,"代理商门店借款标（2015050602） 借贷编号：20150500008","50000","已还完","杭州企泰环保科技有限公司，是一家以创新商业模式为先导，经营家用、商用环境电器为主的高科技企业。作为国内首批真正规模化生产净水设备（自动售水机、校园直饮机、家用净水机、）空气净化器等生活电器的厂家，拥有1.5万平方的规模化生产基地，旗下组成杭州万淳净水设备有限公司、郑州企泰技术服务有限公司、河南，四川企泰办事处等多家运营公司。公司目前年总营业额已达9千万左右，净利润占7—8个百分点，公司总贷款330万（抵押贷款），是个非常有市场前景的公司。同时公司配有自己的运营策划，项目研发，售后服务团队。全国已有900多家代理商，销量在全国排名居首，是央视公认的净水信得过企业。公司已有专利20多项，荣获“行业十大品牌”“社区自动售水机第一品牌”“家用净水机十大品牌”“空气净化器金点子奖“等多项荣誉证书。","1个月","18.0",\N,"其他 

   借款状态：投标1次成功，","企泰环保科技有限公司",\N,"到期还本还息","宋**","男","24","","",\N,"河北邢台",\N,"有",\N,\N,\N
"24988","2015-05-06",\N,\N,"代理商门店借款标（2015050601） 借贷编号：20150500007","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标7次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24989","2015-05-05",\N,\N,"代理商门店借款标（2015050501） 借贷编号：20150500006","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标5次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24990","2015-05-04",\N,\N,"代理商门店借款标（2015050401） 借贷编号：20150500004","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标1次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24991","2015-05-04",\N,\N,"代理商门店借款标（2015050401） 借贷编号：20150500003","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标13次成功","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24992","2015-05-03",\N,\N,"代理商门店借款标（2015050302） 借贷编号：20150500002","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标1次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24993","2015-05-03",\N,\N,"代理商门店借款标（2015050301） 借贷编号：20150500001","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标2次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24994","2015-05-02",\N,\N,"代理商门店借款标（2015050201） 借贷编号：20150400104","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标15次成功","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
"24995","2015-05-01",\N,\N,"代理商门店借款标（2015050101） 借贷编号：20150400103","100000","已还完","","1个月","18.0",\N,"其他 

   借款状态：投标7次成功，","",\N,"到期还本还息","","","","","",\N,"",\N,"",\N,\N,\N
