"174871","发标时间：
						2015-01-26 09:30:2",\N,\N,"原始股认购权标02期","300000.000000",\N,\N,"流转周期：6月","18%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1967-10",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：	没有奖励",\N
"174872","发标时间：
						2015-02-03 09:35:2",\N,\N,"原始股认购权标06期","300000.000000",\N,\N,"流转周期：3月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1967-10",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：	没有奖励",\N
"174873","发标时间：
						2015-03-10 14:14:2",\N,\N,"原始股认购标07期","300000.000000",\N,\N,"流转周期：9月","18%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1967-10",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：	没有奖励",\N
"174874","发标时间：
						2015-05-27 14:00:0",\N,\N,"平台43周转标09期","500000.000000",\N,\N,"流转周期：12月","7%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1990-05",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		8%奖励",\N
"174875","发标时间：
						2015-05-28 10:30:0",\N,\N,"平台43周转标10期","500000.000000",\N,\N,"流转周期：6月","5%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1990-05",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		4%奖励",\N
"174876","发标时间：
						2014-12-04 09:18:2",\N,\N,"某商贸企业借款14期（抢标送1.2%红包）","300000.000000",\N,\N,"流转周期：6月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1983-11",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		9%奖励",\N
"174877","发标时间：
						2014-12-08 09:18:0",\N,\N,"某商贸企业借款15期（抢标送1.2%红包）","200000.000000",\N,\N,"流转周期：6月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1983-11",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		9%奖励",\N
"174878","发标时间：
						2014-12-09 09:38:1",\N,\N,"某商贸企业借款16期（抢标送1.2%红包）","300000.000000",\N,\N,"流转周期：6月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1983-11",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		9%奖励",\N
"174879","发标时间：
						2014-12-11 09:58:1",\N,\N,"某商贸公司借款01期（抢标送1.2%红包）","300000.000000",\N,\N,"流转周期：6月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1981-01",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		9%奖励",\N
"174880","发标时间：
						2014-12-13 10:18:0",\N,\N,"某商贸公司借款02期（抢标送1.2%红包）","300000.000000",\N,\N,"流转周期：6月","16.8%",\N,\N,\N,\N,"还款方式：一次性还款",\N,"性别：男","出生年月：1981-01",\N,\N,\N,"居住地：淮安",\N,\N,\N,"投资奖励：							 		9%奖励",\N
