"15423","2015-06-21","2015-06-21 13:56:45",\N,"宝马汽车抵押标","120000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
"15424","2015-06-21","2015-06-21 13:53:26",\N,"宝马汽车抵押标","370000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
"15425","2015-06-20","2015-06-20 10:16:55",\N,"宝马汽车抵押标","200000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
"15426","2015-06-20","2015-06-20 13:32:42",\N,"现代汽车抵押标","130000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
"15427","2015-06-19","2015-06-19 10:01:14",\N,"起亚汽车抵押标","100000",\N,\N,"1  个月","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.00",\N
"15428","2015-06-18","2015-06-18 10:00:34",\N,"纳智捷汽车抵押标&l ","110000",\N,\N,"1  个月","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.00",\N
"15429","2015-06-17","2015-06-17 10:01:32",\N,"现代汽车抵押标","120000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
"15430","2015-06-17","2015-06-17 10:00:30",\N,"奔驰汽车抵押标","110000",\N,\N,"1  个月","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.00",\N
"15431","2015-06-16","2015-06-16 10:00:10",\N,"奔驰汽车抵押标","110000",\N,\N,"1  个月","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.00",\N
"15432","2015-06-16","2015-06-16 09:50:54",\N,"现代汽车抵押标","60000",\N,\N,"15  天","21.60",\N,\N,\N,\N,"到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.50",\N
