"19873",\N,\N,\N,"【623】0422还款第一期","500000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015/4/22 16:16:48",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19874",\N,\N,\N,"【622】0422还款第一期","500000",\N,\N,"1 个月","18.00",\N,\N,\N,"2015/4/22 15:58:20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19875",\N,\N,\N,"【621】【0419】奔驰二手车抵押标","143718.83",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/19 10:38:10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19876",\N,\N,\N,"【620】【0418】宝马二手车抵押标","200000",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/18 16:27:51",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19877",\N,\N,\N,"【618】【0418】马自达二手车抵押标","50755",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/18 12:45:56",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19878",\N,\N,\N,"【617】【0417】奔驰二手车抵押标(路**灯）（一**晓）","130000",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/17 11:21:41",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19879",\N,\N,\N,"【616】【0417】马自达二手车抵押标","19245.09",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/17 10:41:11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19880",\N,\N,\N,"【615】【0417】迈瑞宝二手车抵押标截标续发","22834.51",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/17 10:30:02",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19881",\N,\N,\N,"【614】【0416】别克、奥迪Q5二手车抵押标（w**j)(一**晓）","140000",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/16 11:19:53",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19882",\N,\N,\N,"【613】【0416】别克二手车抵押标(w**j)","100000",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/16 11:33:09",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19883",\N,\N,\N,"【612】【0416】迈瑞宝二手车抵押标","97165.49",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/16 10:41:05",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19884",\N,\N,\N,"【611】【0416】雅阁二手车抵押标","100000",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/16 10:29:47",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
"19885",\N,\N,\N,"【610】【0415】保时捷二手车抵押标","310404.92",\N,\N,"1 个月","21.60",\N,\N,\N,"2015/4/15 10:36:06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.2500",\N
