"1903",\N,\N,\N,"深圳市**科技有限公司借款 05","500,000.00",\N,\N,"6
            
           
            月
            
           
          
           借款期限","18.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-16 14:14:19.220","按月付息，到期还本","zh********",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.80%",\N
"1904",\N,\N,\N,"东莞市某某实业有限公司借款 27","400,000.00",\N,\N,"3
            
           
            月
            
           
          
           借款期限","17.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-16 10:20:10.333","按月付息，到期还本","wa*******",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.60%",\N
"1905",\N,\N,\N,"深圳市**电子有限公司借款 26","150,000.00",\N,\N,"1
            
           
            月
            
           
          
           借款期限","16.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-16 10:16:28.223","按月付息，到期还本","ga****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"1906",\N,\N,\N,"东莞市某某实业有限公司借款 22","300,000.00",\N,\N,"3
            
           
            月
            
           
          
           借款期限","17.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-09 10:51:28.180","按月付息，到期还本","wa*******",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.60%",\N
"1907",\N,\N,\N,"深圳市**科技有限公司借款 04","2,000,000.00",\N,\N,"6
            
           
            月
            
           
          
           借款期限","18.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-15 19:29:22.740","按月付息，到期还本","zh********",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.80%",\N
"1908",\N,\N,\N,"东莞市某某实业有限公司借款 21","300,000.00",\N,\N,"3
            
           
            月
            
           
          
           借款期限","17.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-09 10:27:22.091","按月付息，到期还本","wa*******",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.60%",\N
"1909",\N,\N,\N,"深圳市**电子有限公司借款 13","200,000.00",\N,\N,"1
            
           
            月
            
           
          
           借款期限","16.00
            
           
                      
           
          
          ",\N,"短期周转","德融担保","2015-02-28 13:05:36.506","按月付息，到期还本","ga****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"1910",\N,\N,\N,"深圳市**电子有限公司借款 19","200,000.00",\N,\N,"1
            
           
            月
            
           
          
           借款期限","16.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-08 19:31:56.670","按月付息，到期还本","ga****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"1911",\N,\N,\N,"深圳市**电子有限公司借款 14","200,000.00",\N,\N,"1
            
           
            月
            
           
          
           借款期限","16.00
            
           
                      
           
          
          ",\N,"短期周转","德融担保","2015-03-02 13:07:23.266","按月付息，到期还本","ga****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
"1912",\N,\N,\N,"深圳市**电子有限公司借款 20","200,000.00",\N,\N,"1
            
           
            月
            
           
          
           借款期限","16.00
            
           
                      
           
          
          ",\N,"企业资金周转","德融担保","2015-03-09 10:21:11.869","按月付息，到期还本","ga****",\N,\N,\N,\N,\N,\N,\N,\N,\N,"",\N
