"11072",\N,\N,\N,"橱柜贷1：经营橱柜生产销售三个月　　[2296]","100,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 12:19","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11073",\N,\N,\N,"约 橱柜贷15：经营橱柜生产销售三个月　[2295]","90,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 10:23","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11074",\N,\N,\N,"约 橱柜贷14：经营橱柜生产销售三个月　[2294]","90,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 10:15","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11075",\N,\N,\N,"约 橱柜贷6：经营橱柜生产销售三个月　[2293]","170,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 10:08","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11076",\N,\N,\N,"橱柜贷2：经营橱柜生产销售15天　[2290]","30,000.00",\N,\N,"15                天","28.80             ",\N,"短期周转",\N,"2015-01-09 21:05","按天到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.10",\N
"11077",\N,\N,\N,"橱柜贷13：经营橱柜生产销售三个月　[2292]","100,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 11:04","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11078",\N,\N,\N,"约 橱柜贷10：经营橱柜生产销售三个月　[2288]","56,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-09 09:42","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11079",\N,\N,\N,"橱柜贷11：经营橱柜生产销售15天　[2289]","30,000.00",\N,\N,"15                天","28.80             ",\N,"短期周转",\N,"2015-01-07 22:52","按天到期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.10",\N
"11080",\N,\N,\N,"标2：经营激光设备公司借款周转三个月　[2277]","60,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-05 14:09","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11081",\N,\N,\N,"约 橱柜贷7：经营橱柜生产销售三个月　[2285]","36,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-04 17:49","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11082",\N,\N,\N,"橱柜贷5：经营橱柜生产销售三个月　[2283]","50,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-04 20:34","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11083",\N,\N,\N,"橱柜贷3：经营橱柜生产销售三个月　　[2281]","36,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"生意周转",\N,"2015-01-04 15:39","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11084",\N,\N,\N,"橱柜贷1：经营橱柜生产销售三个月　　[2279]","50,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"生意周转",\N,"2015-01-04 16:07","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11085",\N,\N,\N,"橱柜贷2：经营橱柜生产销售六个月　　[2280]","50,000.00",\N,\N,"6                                  个月","18.00                                 ",\N,"生意周转",\N,"2015-01-04 15:36","每月还息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"12.00",\N
"11086",\N,\N,\N,"标11：科技研发公司借款周转3个月　[2272]","20,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-02 20:07","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11087",\N,\N,\N,"标6：经营服饰批发借款周转3个月　[2271]","20,000.00",\N,\N,"3                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-02 19:55","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3.00",\N
"11088",\N,\N,\N,"标10：科技研发公司借款周转3个月　[2243]","46,000.00",\N,\N,"3                                  个月","20.00                                 （月利率1.6667%）",\N,"短期周转",\N,"2015-01-02 10:52","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"4.20",\N
"11089",\N,\N,\N,"标12：经营胶袋制品借款周转一个月　[2270]","30,000.00",\N,\N,"1                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-01 20:13","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"11090",\N,\N,\N,"约 标5：经营服饰批发借款周转3个月　[2258]","50,000.00",\N,\N,"3                                  个月","20.00                                 （月利率1.6667%）",\N,"短期周转",\N,"2015-01-01 13:15","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"4.20",\N
"11091",\N,\N,\N,"标9：科技研发公司借款周转3个月　[2242]","30,000.00",\N,\N,"3                                  个月","20.00                                 （月利率1.6667%）",\N,"短期周转",\N,"2015-01-01 22:22","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"4.20",\N
"11092",\N,\N,\N,"标11：经营胶袋制品借款周转一个月　[2269]","30,000.00",\N,\N,"1                                  个月","18.00                                 ",\N,"短期周转",\N,"2015-01-01 13:28","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"11093",\N,\N,\N,"标10：经营胶袋制品借款周转一个月　[2254]","30,000.00",\N,\N,"1                                  个月","18.00                                 ",\N,"短期周转",\N,"2014-12-31 22:02","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"11094",\N,\N,\N,"标9：经营胶袋制品借款周转一个月　[2252]","30,000.00",\N,\N,"1                                  个月","18.00                                 ",\N,"短期周转",\N,"2014-12-31 13:17","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
"11095",\N,\N,\N,"标5：经营胶袋制品借款周转一个月　[2244]","30,000.00",\N,\N,"1                                  个月","18.00                                 ",\N,"短期周转",\N,"2014-12-30 18:02","按月分期还款",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1.50",\N
